"DRXFDCD","DRXFCSD","DRXFCLD"
11435020,"YOGURT, GREEK, LOW FAT MILK, FLAVORS OTHER THAN FRUIT","Yogurt, Greek, low fat milk, flavors other than fruit"
11435030,"YOGURT, GREEK, NONFAT MILK, FLAVORS OTHER THAN FRUIT","Yogurt, Greek, nonfat milk, flavors other than fruit"
11435100,"YOGURT, GREEK, WITH OATS","Yogurt, Greek, with oats"
11436000,"YOGURT, LIQUID","Yogurt, liquid"
11440010,"CHIPOTLE DIP, YOGURT BASED","Chipotle dip, yogurt based"
11440020,"DILL DIP, YOGURT BASED","Dill dip, yogurt based"
11440030,"ONION DIP, YOGURT BASED","Onion dip, yogurt based"
11440040,"RANCH DIP, YOGURT BASED","Ranch dip, yogurt based"
11440050,"SPINACH DIP, YOGURT BASED","Spinach dip, yogurt based"
11440060,"TZATZIKI DIP","Tzatziki dip"
11440070,"VEGETABLE DIP, YOGURT BASED","Vegetable dip, yogurt based"
11446000,"YOGURT PARFAIT, LOW FAT, WITH FRUIT","Yogurt parfait, low fat, with fruit"
11459990,"FROZEN YOGURT, NFS","Frozen yogurt, NFS"
11460000,"FROZEN YOGURT, VANILLA","Frozen yogurt, vanilla"
11460100,"FROZEN YOGURT, CHOCOLATE","Frozen yogurt, chocolate"
11460500,"FROZEN YOGURT, SOFT SERVE, VANILLA","Frozen yogurt, soft serve, vanilla"
11460510,"FROZEN YOGURT, SOFT SERVE, CHOCOLATE","Frozen yogurt, soft serve, chocolate"
11461200,"FROZEN YOGURT SANDWICH","Frozen yogurt sandwich"
11461210,"FROZEN YOGURT BAR, VANILLA","Frozen yogurt bar, vanilla"
11461220,"FROZEN YOGURT BAR, CHOCOLATE","Frozen yogurt bar, chocolate"
11461250,"FROZEN YOGURT CONE, CHOCOLATE","Frozen yogurt cone, chocolate"
11461260,"FROZEN YOGURT CONE, VANILLA","Frozen yogurt cone, vanilla"
11461300,"FROZEN YOGURT CONE, VANILLA, WAFFLE CONE","Frozen yogurt cone, vanilla, waffle cone"
11461320,"FROZEN YOGURT CONE, CHOCOLATE, WAFFLE CONE","Frozen yogurt cone, chocolate, waffle cone"
11480010,"YOGURT, WHOLE MILK, BABY FOOD","Yogurt, whole milk, baby food"
11480020,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"
11480030,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"
11480040,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
11511000,"CHOCOLATE MILK, NFS","Chocolate milk, NFS"
11511100,"CHOCOLATE MILK, READY TO DRINK, WHOLE","Chocolate milk, ready to drink, whole"
11511200,"CHOCOLATE MILK, READY TO DRINK, REDUCED FAT","Chocolate milk, ready to drink, reduced fat"
11511300,"CHOCOLATE MILK, READY TO DRINK, FAT FREE","Chocolate milk, ready to drink, fat free"
11511400,"CHOCOLATE MILK, READY TO DRINK, LOW FAT","Chocolate milk, ready to drink, low fat"
11511550,"CHOCOLATE MILK, READY TO DRINK, REDUCED SUGAR, NS AS TO MILK","Chocolate milk, ready to drink, reduced sugar, NS as to milk"
11511600,"CHOCOLATE MILK, READY TO DRINK, LOW FAT (NESQUIK)","Chocolate milk, ready to drink, low fat (Nesquik)"
11511610,"CHOCOLATE MILK, READY TO DRINK, FAT FREE (NESQUIK)","Chocolate milk, ready to drink, fat free (Nesquik)"
11511700,"CHOCOLATE MILK, READY TO DRINK, LOW FAT, NO SUGAR ADDED (NES","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)"
11512010,"HOT CHOCOLATE / COCOA, READY TO DRINK","Hot chocolate / Cocoa, ready to drink"
11512020,"HOT CHOCOLATE / COCOA, READY TO DRINK, MADE WITH NONFAT MILK","Hot chocolate / Cocoa, ready to drink, made with nonfat milk"
11512030,"HOT CHOCOLATE / COCOA, READY TO DRINK, MADE WITH NON-DAIRY M","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk"
11512100,"HOT CHOCOLATE / COCOA, READY TO DRINK, WITH WHIPPED CREAM","Hot chocolate / Cocoa, ready to drink, with whipped cream"
11512110,"HOT CHOCOLATE / COCOA, READY TO DRINK, MADE WITH NONFAT MILK","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream"
11512120,"HOT CHOCOLATE / COCOA, READY TO DRINK, MADE WITH NON-DAIRY M","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream"
11513000,"CHOCOLATE MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK","Chocolate milk, made from dry mix, NS as to type of milk"
11513100,"CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK","Chocolate milk, made from dry mix with whole milk"
11513150,"CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK","Chocolate milk, made from dry mix with reduced fat milk"
11513200,"CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK","Chocolate milk, made from dry mix with low fat milk"
11513300,"CHOCOLATE MILK, MADE FROM DRY MIX WITH FAT FREE MILK","Chocolate milk, made from dry mix with fat free milk"
11513310,"CHOCOLATE MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK","Chocolate milk, made from dry mix with non-dairy milk"
11513350,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX, NS AS TO TYPE O","Chocolate milk, made from reduced sugar mix, NS as to type of milk"
11513355,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH WHOLE MILK","Chocolate milk, made from reduced sugar mix with whole milk"
11513360,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH REDUCED FAT","Chocolate milk, made from reduced sugar mix with reduced fat milk"
11513365,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH LOW FAT MIL","Chocolate milk, made from reduced sugar mix with low fat milk"
11513370,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH FAT FREE MI","Chocolate milk, made from reduced sugar mix with fat free milk"
11513375,"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH NON-DAIRY M","Chocolate milk, made from reduced sugar mix with non-dairy milk"
11513380,"CHOCOLATE MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK (NE","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)"
11513381,"CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK (NESQUIK)","Chocolate milk, made from dry mix with whole milk (Nesquik)"
11513382,"CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK (NES","Chocolate milk, made from dry mix with reduced fat milk (Nesquik)"
11513383,"CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK (NESQUIK","Chocolate milk, made from dry mix with low fat milk (Nesquik)"
11513384,"CHOCOLATE MILK, MADE FROM DRY MIX WITH FAT FREE MILK (NESQUI","Chocolate milk, made from dry mix with fat free milk (Nesquik)"
11513385,"CHOCOLATE MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK (NESQU","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)"
11513390,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX, NS AS TO T","Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)"
11513391,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH WHOLE","Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)"
11513392,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH REDUCE","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)"
11513393,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH LOW FA","Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)"
11513394,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH FAT FR","Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)"
11513395,"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH NON-DA","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)"
11513400,"CHOCOLATE MILK, MADE FROM SYRUP, NS AS TO TYPE OF MILK","Chocolate milk, made from syrup, NS as to type of milk"
11513500,"CHOCOLATE MILK, MADE FROM SYRUP WITH WHOLE MILK","Chocolate milk, made from syrup with whole milk"
11513550,"CHOCOLATE MILK, MADE FROM SYRUP WITH REDUCED FAT MILK","Chocolate milk, made from syrup with reduced fat milk"
11513600,"CHOCOLATE MILK, MADE FROM SYRUP WITH LOW FAT MILK","Chocolate milk, made from syrup with low fat milk"
11513700,"CHOCOLATE MILK, MADE FROM SYRUP WITH FAT FREE MILK","Chocolate milk, made from syrup with fat free milk"
11513750,"CHOCOLATE MILK, MADE FROM SYRUP WITH NON-DAIRY MILK","Chocolate milk, made from syrup with non-dairy milk"
