"DRXFDCD","DRXFCSD","DRXFCLD"
26315121,"OYSTERS, BAKED OR BROILED, NO ADDED FAT","Oysters, baked or broiled, no added fat"
26315130,"OYSTERS, STEAMED","Oysters, steamed"
26315140,"OYSTERS, COATED, FRIED","Oysters, coated, fried"
26315160,"OYSTERS, COATED, BAKED OR BROILED, FAT ADDED","Oysters, coated, baked or broiled, fat added"
26315161,"OYSTERS, COATED, BAKED OR BROILED, NO ADDED FAT","Oysters, coated, baked or broiled, no added fat"
26315180,"OYSTERS, CANNED","Oysters, canned"
26315190,"OYSTERS, SMOKED","Oysters, smoked"
26317110,"SCALLOPS, COOKED, NS AS TO COOKING METHOD","Scallops, cooked, NS as to cooking method"
26317120,"SCALLOPS, BAKED OR BROILED, FAT ADDED","Scallops, baked or broiled, fat added"
26317121,"SCALLOPS, BAKED OR BROILED, NO ADDED FAT","Scallops, baked or broiled, no added fat"
26317130,"SCALLOPS, STEAMED OR BOILED","Scallops, steamed or boiled"
26317140,"SCALLOPS, COATED, FRIED","Scallops, coated, fried"
26317160,"SCALLOPS, COATED, BAKED OR BROILED, FAT ADDED","Scallops, coated, baked or broiled, fat added"
26317161,"SCALLOPS, COATED, BAKED OR BROILED, NO ADDED FAT","Scallops, coated, baked or broiled, no added fat"
26319110,"SHRIMP, COOKED, NS AS TO COOKING METHOD","Shrimp, cooked, NS as to cooking method"
26319120,"SHRIMP, BAKED OR BROILED, MADE WITH OIL","Shrimp, baked or broiled, made with oil"
26319121,"SHRIMP, BAKED OR BROILED, MADE WITH BUTTER","Shrimp, baked or broiled, made with butter"
26319122,"SHRIMP, BAKED OR BROILED, MADE WITH MARGARINE","Shrimp, baked or broiled, made with margarine"
26319123,"SHRIMP, BAKED OR BROILED, NO ADDED FAT","Shrimp, baked or broiled, no added fat"
26319124,"SHRIMP, BAKED OR BROILED, MADE WITH COOKING SPRAY","Shrimp, baked or broiled, made with cooking spray"
26319130,"SHRIMP, STEAMED OR BOILED","Shrimp, steamed or boiled"
26319140,"SHRIMP, COATED, FRIED, MADE WITH OIL","Shrimp, coated, fried, made with oil"
26319141,"SHRIMP, COATED, FRIED, MADE WITH BUTTER","Shrimp, coated, fried, made with butter"
26319142,"SHRIMP, COATED, FRIED, MADE WITH MARGARINE","Shrimp, coated, fried, made with margarine"
26319143,"SHRIMP, COATED, FRIED, NO ADDED FAT","Shrimp, coated, fried, no added fat"
26319144,"SHRIMP, COATED, FRIED, MADE WITH COOKING SPRAY","Shrimp, coated, fried, made with cooking spray"
26319145,"SHRIMP, COATED, FRIED, FROM FAST FOOD / RESTAURANT","Shrimp, coated, fried, from fast food / restaurant"
26319160,"SHRIMP, COATED, BAKED OR BROILED, MADE WITH OIL","Shrimp, coated, baked or broiled, made with oil"
26319161,"SHRIMP, COATED, BAKED OR BROILED, MADE WITH BUTTER","Shrimp, coated, baked or broiled, made with butter"
26319162,"SHRIMP, COATED, BAKED OR BROILED, MADE WITH MARGARINE","Shrimp, coated, baked or broiled, made with margarine"
26319163,"SHRIMP, COATED, BAKED OR BROILED, NO ADDED FAT","Shrimp, coated, baked or broiled, no added fat"
26319164,"SHRIMP, COATED, BAKED OR BROILED, MADE WITH COOKING SPRAY","Shrimp, coated, baked or broiled, made with cooking spray"
26319170,"SHRIMP, DRIED","Shrimp, dried"
26319180,"SHRIMP, CANNED","Shrimp, canned"
26321110,"SNAILS, COOKED, NS AS TO COOKING METHOD","Snails, cooked, NS as to cooking method"
27111000,"BEEF WITH TOMATO-BASED SAUCE","Beef with tomato-based sauce"
27111100,"BEEF GOULASH","Beef goulash"
27111200,"BEEF BURGUNDY","Beef burgundy"
27111300,"BEEF STEW, NO POTATOES, TOMATO-BASED SAUCE, MEXICAN STYLE","Beef stew, no potatoes, tomato-based sauce, Mexican style"
27111310,"BEEF STEW, NO POTATOES, TOMATO-BASED SAUCE, WITH CHILI PEPPE","Beef stew, no potatoes, tomato-based sauce, with chili peppers, Mexican style"
27111400,"CHILI CON CARNE, NS AS TO BEANS","Chili con carne, NS as to beans"
27111405,"CHILI CON CARNE WITH BEANS, FROM RESTAURANT","Chili con carne with beans, from restaurant"
27111406,"CHILI CON CARNE WITH BEANS, HOME RECIPE","Chili con carne with beans, home recipe"
27111407,"CHILI CON CARNE WITH BEANS, CANNED","Chili con carne with beans, canned"
27111410,"CHILI CON CARNE WITH BEANS","Chili con carne with beans"
27111420,"CHILI CON CARNE WITHOUT BEANS","Chili con carne without beans"
27111430,"CHILI CON CARNE, NS AS TO BEANS, WITH CHEESE","Chili con carne, NS as to beans, with cheese"
27111440,"CHILI CON CARNE WITH BEANS AND CHEESE","Chili con carne with beans and cheese"
27111500,"BEEF SLOPPY JOE, NO BUN","Beef sloppy joe, no bun"
27112000,"BEEF WITH GRAVY","Beef with gravy"
27112010,"SALISBURY STEAK WITH GRAVY","Salisbury steak with gravy"
27113000,"BEEF WITH CREAM OR WHITE SAUCE","Beef with cream or white sauce"
27113100,"BEEF STROGANOFF","Beef stroganoff"
27113200,"CREAMED CHIPPED OR DRIED BEEF","Creamed chipped or dried beef"
27113300,"SWEDISH MEATBALLS WITH CREAM OR WHITE SAUCE","Swedish meatballs with cream or white sauce"
27114000,"BEEF WITH MUSHROOM SAUCE","Beef with mushroom sauce"
27115000,"BEEF WITH SOY-BASED SAUCE","Beef with soy-based sauce"
27115100,"STEAK TERIYAKI","Steak teriyaki"
27116100,"BEEF CURRY","Beef curry"
27116110,"BEEF CURRY WITH RICE","Beef curry with rice"
27116200,"BEEF WITH BARBECUE SAUCE","Beef with barbecue sauce"
27116300,"BEEF WITH SWEET AND SOUR SAUCE","Beef with sweet and sour sauce"
27116350,"STEWED SEASONED GROUND BEEF, MEXICAN STYLE","Stewed seasoned ground beef, Mexican style"
27116400,"STEAK TARTARE","Steak tartare"
27118110,"MEATBALLS, PUERTO RICAN STYLE","Meatballs, Puerto Rican style"
27118120,"STEWED SEASONED GROUND BEEF, PUERTO RICAN STYLE","Stewed seasoned ground beef, Puerto Rican style"
27118130,"STEWED DRIED BEEF, PUERTO RICAN STYLE","Stewed dried beef, Puerto Rican style"
27118140,"STUFFED POT ROAST, PUERTO RICAN STYLE, NFS","Stuffed pot roast, Puerto Rican style, NFS"
27118180,"BEEF STEW, MEAT WITH GRAVY, NO POTATOES, PUERTO RICAN STYLE","Beef stew, meat with gravy, no potatoes, Puerto Rican style"
27120020,"HAM OR PORK WITH GRAVY","Ham or pork with gravy"
27120030,"HAM OR PORK WITH BARBECUE SAUCE","Ham or pork with barbecue sauce"
27120060,"SWEET AND SOUR PORK","Sweet and sour pork"
27120080,"HAM STROGANOFF","Ham stroganoff"
27120090,"HAM OR PORK WITH MUSHROOM SAUCE","Ham or pork with mushroom sauce"
27120100,"HAM OR PORK WITH TOMATO-BASED SAUCE","Ham or pork with tomato-based sauce"
27120110,"SAUSAGE WITH TOMATO-BASED SAUCE","Sausage with tomato-based sauce"
27120120,"SAUSAGE GRAVY","Sausage gravy"
27120130,"PORK STEW, NO POTATOES, TOMATO-BASED SAUCE, MEXICAN STYLE","Pork stew, no potatoes, tomato-based sauce, Mexican style"
27120150,"PORK OR HAM WITH SOY-BASED SAUCE","Pork or ham with soy-based sauce"
27120210,"FRANKFURTER OR HOT DOG, WITH CHILI, NO BUN","Frankfurter or hot dog, with chili, no bun"
27120250,"FRANKFURTERS OR HOT DOGS WITH TOMATO-BASED SAUCE","Frankfurters or hot dogs with tomato-based sauce"
27121000,"PORK WITH CHILI AND TOMATOES","Pork with chili and tomatoes"
27121010,"STEWED PORK, PUERTO RICAN STYLE","Stewed pork, Puerto Rican style"
27121410,"CHILI CON CARNE WITH BEANS, MADE WITH PORK","Chili con carne with beans, made with pork"
27130010,"LAMB OR MUTTON WITH GRAVY","Lamb or mutton with gravy"
27130050,"LAMB OR MUTTON GOULASH","Lamb or mutton goulash"
27133010,"STEWED GOAT, PUERTO RICAN STYLE","Stewed goat, Puerto Rican style"
27135010,"VEAL WITH GRAVY","Veal with gravy"
27135020,"VEAL SCALLOPINI","Veal scallopini"
27135030,"VEAL WITH CREAM SAUCE","Veal with cream sauce"
27135040,"VEAL WITH BUTTER SAUCE","Veal with butter sauce"
27135050,"VEAL MARSALA","Veal Marsala"
27135110,"VEAL PARMIGIANA","Veal parmigiana"
27135150,"VEAL CORDON BLEU","Veal cordon bleu"
27136050,"VENISON OR DEER WITH TOMATO-BASED SAUCE","Venison or deer with tomato-based sauce"
27136080,"VENISON OR DEER WITH GRAVY","Venison or deer with gravy"
27136100,"CHILI CON CARNE WITH VENISON/DEER AND BEANS","Chili con carne with venison/deer and beans"
27141000,"CHICKEN OR TURKEY CACCIATORE","Chicken or turkey cacciatore"
27141030,"SPAGHETTI SAUCE WITH POULTRY","Spaghetti sauce with poultry"
27141035,"SPAGHETTI SAUCE WITH POULTRY AND ADDED VEGETABLES","Spaghetti sauce with poultry and added vegetables"
27141050,"STEWED CHICKEN WITH TOMATO-BASED SAUCE, MEXICAN STYLE","Stewed chicken with tomato-based sauce, Mexican style"
27141500,"CHILI CON CARNE WITH CHICKEN OR TURKEY AND BEANS","Chili con carne with chicken or turkey and beans"
27142000,"CHICKEN WITH GRAVY","Chicken with gravy"
27142100,"CHICKEN OR TURKEY FRICASSEE","Chicken or turkey fricassee"
27142200,"TURKEY WITH GRAVY","Turkey with gravy"
27143000,"CHICKEN OR TURKEY WITH CREAM SAUCE","Chicken or turkey with cream sauce"
27144000,"CHICKEN OR TURKEY WITH MUSHROOM SAUCE","Chicken or turkey with mushroom sauce"
27145000,"CHICKEN OR TURKEY WITH TERIYAKI","Chicken or turkey with teriyaki"
27146011,"CHICKEN, SHREDDED OR PULLED, WITH BARBECUE SAUCE","Chicken, shredded or pulled, with barbecue sauce"
27146100,"SWEET AND SOUR CHICKEN OR TURKEY","Sweet and sour chicken or turkey"
27146110,"SWEET AND SOUR CHICKEN OR TURKEY, WITHOUT VEGETABLES","Sweet and sour chicken or turkey, without vegetables"
27146150,"CHICKEN CURRY","Chicken curry"
27146155,"CHICKEN CURRY WITH RICE","Chicken curry with rice"
27146160,"CHICKEN WITH MOLE SAUCE","Chicken with mole sauce"
27146200,"CHICKEN OR TURKEY WITH CHEESE SAUCE","Chicken or turkey with cheese sauce"
27146250,"CHICKEN OR TURKEY CORDON BLEU","Chicken or turkey cordon bleu"
27146300,"CHICKEN OR TURKEY PARMIGIANA","Chicken or turkey parmigiana"
27146350,"ORANGE CHICKEN","Orange chicken"
27146360,"SESAME CHICKEN","Sesame chicken"
27146400,"CHICKEN KIEV","Chicken kiev"
27148010,"STUFFED CHICKEN, DRUMSTICK OR BREAST, PUERTO RICAN STYLE","Stuffed chicken, drumstick or breast, Puerto Rican style"
27150010,"FISH WITH CREAM OR WHITE SAUCE, NOT TUNA OR LOBSTER","Fish with cream or white sauce, not tuna or lobster"
27150020,"CRAB, DEVILED","Crab, deviled"
27150030,"CRAB IMPERIAL","Crab imperial"
27150050,"FISH TIMBALE OR MOUSSE","Fish timbale or mousse"
27150060,"LOBSTER NEWBURG","Lobster newburg"
27150070,"LOBSTER WITH BUTTER SAUCE","Lobster with butter sauce"
27150110,"SHRIMP COCKTAIL","Shrimp cocktail"
27150120,"TUNA WITH CREAM OR WHITE SAUCE","Tuna with cream or white sauce"
27150130,"SEAFOOD NEWBURG","Seafood newburg"
27150140,"SEAFOOD SAUCE","Seafood sauce"
27150151,"SPAGHETTI SAUCE WITH SEAFOOD","Spaghetti sauce with seafood"
27150155,"SPAGHETTI SAUCE WITH SEAFOOD AND ADDED VEGETABLES","Spaghetti sauce with seafood and added vegetables"
27150160,"SHRIMP WITH LOBSTER SAUCE","Shrimp with lobster sauce"
27150170,"SWEET AND SOUR SHRIMP","Sweet and sour shrimp"
27150210,"FISH SAUCE","Fish sauce"
27150230,"SHRIMP SCAMPI","Shrimp scampi"
27150250,"FISH MOOCHIM","Fish moochim"
27150310,"FISH WITH TOMATO-BASED SAUCE","Fish with tomato-based sauce"
27150320,"FISH CURRY","Fish curry"
27150325,"FISH CURRY WITH RICE","Fish curry with rice"
27150330,"MUSSELS WITH TOMATO-BASED SAUCE","Mussels with tomato-based sauce"
27150350,"SARDINES WITH TOMATO-BASED SAUCE","Sardines with tomato-based sauce"
27150370,"SARDINES WITH MUSTARD SAUCE","Sardines with mustard sauce"
27150410,"SHRIMP TERIYAKI","Shrimp teriyaki"
27150510,"SCALLOPS WITH CHEESE SAUCE","Scallops with cheese sauce"
27151030,"CEVICHE","Ceviche"
27151040,"CRABS IN TOMATO-BASED SAUCE, PUERTO RICAN STYLE","Crabs in tomato-based sauce, Puerto Rican style"
27151050,"SHRIMP IN GARLIC SAUCE, PUERTO RICAN STYLE","Shrimp in garlic sauce, Puerto Rican style"
27151070,"STEWED CODFISH, NO POTATOES, PUERTO RICAN STYLE","Stewed codfish, no potatoes, Puerto Rican style"
27160010,"MEAT WITH BARBECUE SAUCE, NS AS TO TYPE OF MEAT","Meat with barbecue sauce, NS as to type of meat"
27160100,"MEATBALLS, NS AS TO TYPE OF MEAT, WITH SAUCE","Meatballs, NS as to type of meat, with sauce"
27161010,"MEAT LOAF, PUERTO RICAN STYLE","Meat loaf, Puerto Rican style"
27162010,"MEAT WITH TOMATO-BASED SAUCE","Meat with tomato-based sauce"
27162040,"SPAGHETTI SAUCE WITH MEAT","Spaghetti sauce with meat"
27162060,"SPAGHETTI SAUCE WITH MEAT AND ADDED VEGETABLES","Spaghetti sauce with meat and added vegetables"
27162500,"STEWED, SEASONED, GROUND BEEF AND PORK, MEXICAN STYLE","Stewed, seasoned, ground beef and pork, Mexican style"
27163010,"MEAT WITH GRAVY, NS AS TO TYPE OF MEAT,","Meat with gravy, NS as to type of meat,"
27211000,"BEEF AND POTATOES, NO SAUCE","Beef and potatoes, no sauce"
27211100,"BEEF STEW WITH POTATOES, TOMATO-BASED SAUCE","Beef stew with potatoes, tomato-based sauce"
27211110,"BEEF STEW WITH POTATOES, TOMATO-BASED SAUCE, MEXICAN STYLE","Beef stew with potatoes, tomato-based sauce, Mexican style"
27211150,"BEEF GOULASH WITH POTATOES","Beef goulash with potatoes"
27211190,"BEEF AND POTATOES WITH CREAM SAUCE, WHITE SAUCE OR MUSHROOM","Beef and potatoes with cream sauce, white sauce or mushroom sauce"
27211200,"BEEF STEW WITH POTATOES, GRAVY","Beef stew with potatoes, gravy"
27211300,"BEEF, ROAST, HASH","Beef, roast, hash"
27211400,"CORNED BEEF HASH","Corned beef hash"
27211500,"BEEF AND POTATOES WITH CHEESE SAUCE","Beef and potatoes with cheese sauce"
27211550,"STEWED, SEASONED, GROUND BEEF WITH POTATOES, MEXICAN STYLE","Stewed, seasoned, ground beef with potatoes, Mexican style"
27212000,"BEEF AND NOODLES, NO SAUCE","Beef and noodles, no sauce"
27212050,"BEEF AND MACARONI WITH CHEESE SAUCE","Beef and macaroni with cheese sauce"
27212100,"BEEF AND NOODLES WITH TOMATO-BASED SAUCE","Beef and noodles with tomato-based sauce"
27212120,"CHILI CON CARNE WITH BEANS AND MACARONI","Chili con carne with beans and macaroni"
27212150,"BEEF GOULASH WITH NOODLES","Beef goulash with noodles"
27212200,"BEEF AND NOODLES WITH GRAVY","Beef and noodles with gravy"
27212300,"BEEF AND NOODLES WITH CREAM OR WHITE SAUCE","Beef and noodles with cream or white sauce"
27212350,"BEEF STROGANOFF WITH NOODLES","Beef stroganoff with noodles"
27212400,"BEEF AND NOODLES WITH MUSHROOM SAUCE","Beef and noodles with mushroom sauce"
27212500,"BEEF AND NOODLES WITH SOY-BASED SAUCE","Beef and noodles with soy-based sauce"
27213000,"BEEF AND RICE, NO SAUCE","Beef and rice, no sauce"
27213010,"BIRYANI WITH MEAT","Biryani with meat"
27213100,"BEEF AND RICE WITH TOMATO-BASED SAUCE","Beef and rice with tomato-based sauce"
27213120,"PORCUPINE BALLS WITH TOMATO-BASED SAUCE","Porcupine balls with tomato-based sauce"
27213150,"CHILI CON CARNE WITH BEANS AND RICE","Chili con carne with beans and rice"
27213200,"BEEF AND RICE WITH GRAVY","Beef and rice with gravy"
27213300,"BEEF AND RICE WITH CREAM SAUCE","Beef and rice with cream sauce"
27213400,"BEEF AND RICE WITH MUSHROOM SAUCE","Beef and rice with mushroom sauce"
27213420,"PORCUPINE BALLS WITH MUSHROOM SAUCE","Porcupine balls with mushroom sauce"
27213500,"BEEF AND RICE WITH SOY-BASED SAUCE","Beef and rice with soy-based sauce"
27213600,"BEEF AND RICE WITH CHEESE SAUCE","Beef and rice with cheese sauce"
27214100,"MEAT LOAF MADE WITH BEEF","Meat loaf made with beef"
27214110,"MEAT LOAF MADE WITH BEEF, WITH TOMATO-BASED SAUCE","Meat loaf made with beef, with tomato-based sauce"
27214300,"BEEF WELLINGTON","Beef wellington"
27214500,"CORNED BEEF PATTY","Corned beef patty"
27218110,"STUFFED POT ROAST, WITH POTATOES, PUERTO RICAN STYLE","Stuffed pot roast, with potatoes, Puerto Rican style"
27218210,"BEEF STEW WITH POTATOES, PUERTO RICAN STYLE","Beef stew with potatoes, Puerto Rican style"
27218310,"STEWED CORNED BEEF, PUERTO RICAN STYLE","Stewed corned beef, Puerto Rican style"
27220010,"MEAT LOAF MADE WITH HAM","Meat loaf made with ham"
27220020,"HAM AND NOODLES WITH CREAM OR WHITE SAUCE","Ham and noodles with cream or white sauce"
27220030,"HAM AND RICE WITH MUSHROOM SAUCE","Ham and rice with mushroom sauce"
27220050,"HAM OR PORK WITH STUFFING","Ham or pork with stuffing"
27220080,"HAM CROQUETTE","Ham croquette"
27220110,"PORK AND RICE WITH TOMATO-BASED SAUCE","Pork and rice with tomato-based sauce"
27220120,"SAUSAGE AND RICE WITH TOMATO-BASED SAUCE","Sausage and rice with tomato-based sauce"
27220150,"SAUSAGE AND RICE WITH MUSHROOM SAUCE","Sausage and rice with mushroom sauce"
27220170,"SAUSAGE AND RICE WITH CHEESE SAUCE","Sausage and rice with cheese sauce"
27220190,"SAUSAGE AND NOODLES WITH CREAM OR WHITE SAUCE","Sausage and noodles with cream or white sauce"
27220210,"HAM AND NOODLES, NO SAUCE","Ham and noodles, no sauce"
27220310,"HAM OR PORK AND RICE, NO SAUCE","Ham or pork and rice, no sauce"
27220510,"HAM OR PORK AND POTATOES WITH GRAVY","Ham or pork and potatoes with gravy"
27220520,"HAM OR PORK AND POTATOES WITH CHEESE SAUCE","Ham or pork and potatoes with cheese sauce"
27221100,"STEWED PIG'S FEET, PUERTO RICAN STYLE","Stewed pig's feet, Puerto Rican style"
27221110,"STUFFED PORK ROAST, PUERTO RICAN STYLE","Stuffed pork roast, Puerto Rican style"
27221150,"PORK STEW, WITH POTATOES, TOMATO-BASED SAUCE, MEXICAN STYLE","Pork stew, with potatoes, tomato-based sauce, Mexican style"
27230010,"LAMB OR MUTTON LOAF","Lamb or mutton loaf"
27231000,"LAMB OR MUTTON AND POTATOES WITH GRAVY","Lamb or mutton and potatoes with gravy"
27232000,"LAMB OR MUTTON AND POTATOES WITH TOMATO-BASED SAUCE","Lamb or mutton and potatoes with tomato-based sauce"
27233000,"LAMB OR MUTTON AND NOODLES WITH GRAVY","Lamb or mutton and noodles with gravy"
27235000,"MEAT LOAF MADE WITH VENISON/DEER","Meat loaf made with venison/deer"
27235750,"VEAL AND NOODLES WITH CREAM OR WHITE SAUCE","Veal and noodles with cream or white sauce"
27236000,"VENISON OR DEER AND NOODLES WITH CREAM OR WHITE SAUCE","Venison or deer and noodles with cream or white sauce"
27241000,"CHICKEN OR TURKEY HASH","Chicken or turkey hash"
27241010,"CHICKEN OR TURKEY AND POTATOES WITH GRAVY","Chicken or turkey and potatoes with gravy"
27242000,"CHICKEN OR TURKEY AND NOODLES, NO SAUCE","Chicken or turkey and noodles, no sauce"
27242200,"CHICKEN OR TURKEY AND NOODLES WITH GRAVY","Chicken or turkey and noodles with gravy"
27242250,"CHICKEN OR TURKEY AND NOODLES WITH MUSHROOM SAUCE","Chicken or turkey and noodles with mushroom sauce"
27242300,"CHICKEN OR TURKEY AND NOODLES WITH CREAM OR WHITE SAUCE","Chicken or turkey and noodles with cream or white sauce"
27242310,"CHICKEN OR TURKEY AND NOODLES WITH CHEESE SAUCE","Chicken or turkey and noodles with cheese sauce"
27242350,"CHICKEN OR TURKEY TETRAZZINI","Chicken or turkey tetrazzini"
27242400,"CHICKEN OR TURKEY AND NOODLES WITH TOMATO-BASED SAUCE","Chicken or turkey and noodles with tomato-based sauce"
27242500,"CHICKEN OR TURKEY AND NOODLES WITH SOY-BASED SAUCE","Chicken or turkey and noodles with soy-based sauce"
27243000,"CHICKEN OR TURKEY AND RICE, NO SAUCE","Chicken or turkey and rice, no sauce"
27243100,"BIRYANI WITH CHICKEN","Biryani with chicken"
27243300,"CHICKEN OR TURKEY AND RICE WITH CREAM SAUCE","Chicken or turkey and rice with cream sauce"
27243400,"CHICKEN OR TURKEY AND RICE WITH MUSHROOM SAUCE","Chicken or turkey and rice with mushroom sauce"
27243500,"CHICKEN OR TURKEY AND RICE WITH TOMATO-BASED SAUCE","Chicken or turkey and rice with tomato-based sauce"
27243600,"CHICKEN OR TURKEY AND RICE WITH SOY-BASED SAUCE","Chicken or turkey and rice with soy-based sauce"
27246100,"CHICKEN OR TURKEY WITH DUMPLINGS","Chicken or turkey with dumplings"
27246200,"CHICKEN OR TURKEY WITH STUFFING","Chicken or turkey with stuffing"
27246300,"CHICKEN OR TURKEY CAKE, PATTY, OR CROQUETTE","Chicken or turkey cake, patty, or croquette"
27246400,"CHICKEN OR TURKEY SOUFFLE","Chicken or turkey souffle"
27246500,"MEAT LOAF MADE WITH CHICKEN OR TURKEY","Meat loaf made with chicken or turkey"
27246505,"MEAT LOAF MADE WITH CHICKEN OR TURKEY, WITH TOMATO-BASED SAU","Meat loaf made with chicken or turkey, with tomato-based sauce"
27250020,"CLAMS, STUFFED","Clams, stuffed"
27250030,"CODFISH BALL OR CAKE","Codfish ball or cake"
27250040,"CRAB CAKE","Crab cake"
27250050,"FISH CAKE OR PATTY, NS AS TO FISH","Fish cake or patty, NS as to fish"
27250060,"GEFILTE FISH","Gefilte fish"
27250070,"SALMON CAKE OR PATTY","Salmon cake or patty"
27250080,"SALMON LOAF","Salmon loaf"
27250110,"SCALLOPS AND NOODLES WITH CHEESE SAUCE","Scallops and noodles with cheese sauce"
27250120,"SHRIMP AND NOODLES, NO SAUCE","Shrimp and noodles, no sauce"
27250122,"SHRIMP AND NOODLES WITH GRAVY","Shrimp and noodles with gravy"
27250124,"SHRIMP AND NOODLES WITH MUSHROOM SAUCE","Shrimp and noodles with mushroom sauce"
27250126,"SHRIMP AND NOODLES WITH CREAM OR WHITE SAUCE","Shrimp and noodles with cream or white sauce"
27250128,"SHRIMP AND NOODLES WITH SOY-BASED SAUCE","Shrimp and noodles with soy-based sauce"
27250130,"SHRIMP AND NOODLES WITH CHEESE SAUCE","Shrimp and noodles with cheese sauce"
27250132,"SHRIMP AND NOODLES WITH TOMATO SAUCE","Shrimp and noodles with tomato sauce"
27250150,"TUNA LOAF","Tuna loaf"
27250160,"TUNA CAKE OR PATTY","Tuna cake or patty"
27250210,"CLAM CAKE OR PATTY","Clam cake or patty"
27250220,"OYSTER FRITTER","Oyster fritter"
27250250,"FLOUNDER WITH CRAB STUFFING","Flounder with crab stuffing"
27250260,"LOBSTER WITH BREAD STUFFING, BAKED","Lobster with bread stuffing, baked"
27250270,"CLAMS CASINO","Clams Casino"
27250300,"MACKEREL CAKE OR PATTY","Mackerel cake or patty"
27250310,"HADDOCK CAKE OR PATTY","Haddock cake or patty"
27250400,"SHRIMP CAKE OR PATTY","Shrimp cake or patty"
27250410,"SHRIMP WITH CRAB STUFFING","Shrimp with crab stuffing"
27250450,"SHRIMP TOAST, FRIED","Shrimp toast, fried"
27250520,"SEAFOOD RESTRUCTURED","Seafood restructured"
27250550,"SEAFOOD SOUFFLE","Seafood souffle"
27250610,"TUNA NOODLE CASSEROLE WITH CREAM OR WHITE SAUCE","Tuna noodle casserole with cream or white sauce"
27250630,"TUNA NOODLE CASSEROLE WITH MUSHROOM SAUCE","Tuna noodle casserole with mushroom sauce"
27250710,"TUNA AND RICE WITH MUSHROOM SAUCE","Tuna and rice with mushroom sauce"
27250810,"FISH AND RICE WITH TOMATO-BASED SAUCE","Fish and rice with tomato-based sauce"
27250820,"FISH AND RICE WITH CREAM SAUCE","Fish and rice with cream sauce"
27250830,"FISH AND RICE WITH MUSHROOM SAUCE","Fish and rice with mushroom sauce"
27250900,"FISH AND NOODLES WITH MUSHROOM SAUCE","Fish and noodles with mushroom sauce"
27250950,"SHELLFISH AND NOODLES WITH TOMATO-BASED SAUCE","Shellfish and noodles with tomato-based sauce"
27251010,"STEWED SALMON, PUERTO RICAN STYLE","Stewed salmon, Puerto Rican style"
27260010,"MEAT LOAF, NS AS TO TYPE OF MEAT","Meat loaf, NS as to type of meat"
27260050,"MEATBALLS, WITH BREADING, NS AS TO TYPE OF MEAT, WITH GRAVY","Meatballs, with breading, NS as to type of meat, with gravy"
27260080,"MEAT LOAF MADE WITH BEEF AND PORK","Meat loaf made with beef and pork"
27260090,"MEAT LOAF MADE WITH BEEF, VEAL AND PORK","Meat loaf made with beef, veal and pork"
27260100,"MEAT LOAF MADE WITH BEEF AND PORK, WITH TOMATO-BASED SAUCE","Meat loaf made with beef and pork, with tomato-based sauce"
27260110,"HASH, NS AS TO TYPE OF MEAT","Hash, NS as to type of meat"
27260500,"VIENNA SAUSAGES STEWED WITH POTATOES, PUERTO RICAN STYLE","Vienna sausages stewed with potatoes, Puerto Rican style"
27260510,"LIVER DUMPLING","Liver dumpling"
27261000,"BREADED BRAINS, PUERTO RICAN STYLE","Breaded brains, Puerto Rican style"
27261500,"STEWED, SEASONED, GROUND BEEF AND PORK WITH POTATOES, MEXICA","Stewed, seasoned, ground beef and pork with potatoes, Mexican style"
27311110,"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27311120,"BEEF, POTATOES, AND VEGETABLES, EXCLUDING CARROTS, BROCCOLI,","Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce"
27311210,"CORNED BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BRO","Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27311220,"CORNED BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BRO","Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27311310,"BEEF STEW WITH POTATOES AND VEGETABLES INCLUDING CARROTS, BR","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27311320,"BEEF STEW WITH POTATOES AND VEGETABLES EXCLUDING CARROTS, BR","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27311410,"BEEF STEW WITH POTATOES AND VEGETABLES INCLUDING CARROTS, BR","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27311420,"BEEF STEW WITH POTATOES AND VEGETABLES EXCLUDING CARROTS, BR","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27311510,"SHEPHERD'S PIE WITH BEEF","Shepherd's pie with beef"
27311600,"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27311605,"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
